,director,count,total_revenue,avg_revenue
49903,Tim Hill,4,578903713,144725928.25
50767,Craig Gillespie,4,126622617,31655654.25
51851,Jake Kasdan,5,362829688,72565937.6
51866,Rick Famuyiwa,4,91818161,22954540.25
52038,Thomas Carter,4,229823608,57455902.0
52049,Jay Chandrasekhar,4,153477662,38369415.5
52112,Steve Carr,6,620452880,103408813.33333333
52358,Boaz Yakin,4,258115781,64528945.25
52443,Jason Reitman,5,463089932,92617986.4
52609,Breck Eisner,3,321162536,107054178.66666667
52629,Joseph Ruben,5,372703210,74540642.0
52842,Garth Jennings,3,743792384,247930794.66666666
52934,Nicholas Stoller,5,626028443,125205688.6
52961,Dennis Gansel,3,148493854,49497951.333333336
52968,Russell Mulcahy,6,218809222,36468203.666666664
53120,James DeMonaco,3,316699354,105566451.33333333
53177,Brian Robbins,6,282076018,47012669.666666664
53267,Craig Brewer,3,98010901,32670300.333333332
53333,John Hillcoat,4,98999875,24749968.75
53334,Jim Sheridan,5,208803470,41760694.0
53925,Jared Hess,3,155516090,51838696.666666664
54040,John Lee Hancock,5,547134674,109426934.8
54050,Mark Waters,8,721161760,90145220.0
54441,James Ivory,4,48663556,12165889.0
54507,Jon M. Chu,6,1117661762,186276960.33333334
54584,Jesse Dylan,3,318675071,106225023.66666667
54590,Steve Rash,3,35753867,11917955.666666666
54733,Greg Mottola,4,266098398,66524599.5
55075,Jeff Wadlow,3,112375105,37458368.333333336
55476,Nicholas Hytner,4,118896453,29724113.25
55499,Scott Derrickson,4,1132741161,283185290.25
55710,Adam McKay,6,859076455,143179409.16666666
56194,Paolo Sorrentino,4,33422430,8355607.5
56263,Mary Lambert,3,79779418,26593139.333333332
56381,James Toback,3,20588876,6862958.666666667
56411,Glenn Ficarra,4,330549529,82637382.25
56512,Tarsem Singh,4,544601608,136150402.0
56578,Jeff Tremaine,4,406116832,101529208.0
56661,Jonathan Levine,5,272310127,54462025.4
56717,Tom Vaughan,3,185134314,61711438.0
56911,Les Mayfield,4,319752116,79938029.0
56998,Dwight H. Little,5,150129534,30025906.8
57082,John Stockwell,4,113638515,28409628.75
57090,Brett Leonard,4,68493255,17123313.75
57130,Todd Phillips,9,1768627970,196514218.8888889
57134,James Wong,3,243721472,81240490.66666667
57193,Gil Kenan,3,253482048,84494016.0
57270,Robert Schwentke,6,932415622,155402603.66666666
57370,Frank Coraci,6,912506196,152084366.0
57434,Amy Heckerling,3,332669375,110889791.66666667
57579,Don Roos,3,144658550,48219516.666666664
57633,Rawson Marshall Thurber,3,654688972,218229657.33333334
57646,Henry Selick,4,234561588,58640397.0
57691,Tamra Davis,3,105089784,35029928.0
58189,Justin Lin,6,2297418890,382903148.3333333
58375,Andy Fickman,6,547448412,91241402.0
58498,Dominic Sena,5,486983971,97396794.2
58552,Burr Steers,4,205609973,51402493.25
58689,Neil LaBute,5,130270469,26054093.8
58712,Steve Miner,5,172367525,34473505.0
58728,Andrei Konchalovsky,6,96900755,16150125.833333334
59026,Peyton Reed,5,1061050765,212210153.0
59291,Alexandre Aja,3,225248317,75082772.33333333
59466,Jamie Babbit,3,2999899,999966.3333333334
59521,Jaume Collet-Serra,6,654620771,109103461.83333333
59998,Greg McLean,3,48291385,16097128.333333334
61175,John Whitesell,3,224444621,74814873.66666667
61357,Geoffrey Sax,3,157134289,52378096.333333336
61411,Mark Dindal,3,487326989,162442329.66666666
62047,Gary Trousdale,3,663543129,221181043.0
62768,William Brent Bell,3,193051952,64350650.666666664
63571,Wilson Yip,3,214733351,71577783.66666667
64045,Kirk Jones,3,291113073,97037691.0
64141,David Gordon Green,6,172199498,28699916.333333332
64151,Mike Mitchell,6,1608859270,268143211.66666666
64195,Joseph Zito,3,59985731,19995243.666666668
64815,Robert Iscove,3,128716527,42905509.0
64877,Rod Daniel,3,207491576,69163858.66666667
65167,Scott Cooper,3,153700310,51233436.666666664
65428,Michael Haigney,10,844884132,84488413.2
65734,Luke Greenfield,4,311707109,77926777.25
66121,"George Tillman, Jr.",3,134909916,44969972.0
66739,Jonathan Liebesman,3,980666756,326888918.6666667
67367,Rian Johnson,3,56492018,18830672.666666668
67753,Mark L. Lester,5,95261153,19052230.6
67813,Baltasar Kormákur,4,398523084,99630771.0
68215,Reginald Hudlin,4,127116185,31779046.25
68770,Mark Rosman,3,80672910,26890970.0
69371,Jean-Marc Vallée,4,137088307,34272076.75
70100,Shinji Aramaki,3,19599291,6533097.0
70500,Tom Hooper,3,920212842,306737614.0
70703,Teddy Chan,3,9816730,3272243.3333333335
70777,Kevin Rodney Sullivan,3,171658650,57219550.0
71280,Michael Dowse,3,14895688,4965229.333333333
71548,Peter Sollett,3,36363388,12121129.333333334
71600,Seth Gordon,4,632555458,158138864.5
71872,Jeff Nichols,4,39896098,9974024.5
71947,Gina Prince-Bythewood,3,80452240,26817413.333333332
72024,Malcolm D. Lee,6,324863028,54143838.0
74619,Sean Anders,4,427270797,106817699.25
75035,Olivier Megaton,4,871858133,217964533.25
76813,Ram Gopal Varma,4,28660000,7165000.0
77003,Gavin O'Connor,6,276489656,46081609.333333336
77121,Randall Miller,4,30740156,7685039.0
77147,John Erick Dowdle,4,168957466,42239366.5
78040,Alex Kendrick,4,145946986,36486746.5
78747,Mani Ratnam,5,59300000,11860000.0
78751,Ashutosh Gowariker,3,37280000,12426666.666666666
79656,John Schultz,3,94641318,31547106.0
80602,Tyler Perry,5,257311717,51462343.4
80999,Fyodor Bondarchuk,3,113964363,37988121.0
81085,A.R. Murugadoss,3,175400000,58466666.666666664
81850,Duncan Jones,3,590769984,196923328.0
82194,Neill Blomkamp,3,601359859,200453286.33333334
82511,Will Gluck,4,377856988,94464247.0
84931,Michael Cuesta,3,4213725,1404575.0
85670,Anurag Kashyap,3,6613926,2204642.0
86783,Rohit Shetty,3,148034000,49344666.666666664
87742,Marc Webb,4,1556117068,389029267.0
91268,Ruben Fleischer,3,248139725,82713241.66666667
91552,S. Shankar,3,103000000,34333333.333333336
95901,Bruno Dumont,8,926880,115860.0
102445,John Sayles,3,16948128,5649376.0
107446,Phil Lord,4,1102176100,275544025.0
109857,Thor Freudenthal,3,323313709,107771236.33333333
113610,Thomas Gilou,3,113080982,37693660.666666664
116357,Scott Stewart,3,171402105,57134035.0
116805,Paul Feig,4,911871431,227967857.75
120953,Gautham Vasudev Menon,3,42000000,14000000.0
125738,Daniel Espinosa,3,311942341,103980780.33333333
129894,Gareth Edwards,3,1589376320,529792106.6666667
130837,Stewart Hendler,3,38763720,12921240.0
132876,Brad Peyton,4,945009211,236252302.75
137427,Denis Villeneuve,4,416644527,104161131.75
137467,Ben Wheatley,3,3746869,1248956.3333333333
139098,Derek Cianfrance,3,78007961,26002653.666666668
142272,Henry Joost,4,436809249,109202312.25
144221,Brad Furman,3,163466352,54488784.0
147021,S.S. Rajamouli,3,349450000,116483333.33333333
232858,Sarik Andreasyan,3,29604356,9868118.666666666
556172,J.C. Chandor,3,37619829,12539943.0
930707,Colin Trevorrow,3,1521756138,507252046.0
930710,James Ponsoldt,3,27729052,9243017.333333334
1000000,Other_,1,59426370,44580419.280082986
